Genes	HepG2_MAX
ENSG00000253467	0
ENSG00000111305	0.21604
ENSG00000227399	0.21327
ENSG00000225462	0.062821
ENSG00000069329	130.0187
ENSG00000176383	1.1621
ENSG00000186871	7.6774
ENSG00000237887	0.2423
ENSG00000249829	1.0639
ENSG00000204250	0.25723
ENSG00000263955	4.4972
ENSG00000230438	2.8186
ENSG00000248491	0.65291
ENSG00000147145	0.34937
ENSG00000134697	136.4477
ENSG00000279142	0
ENSG00000158467	15.8193
ENSG00000207499	0
ENSG00000256596	0.026565
ENSG00000266601	7.5007
ENSG00000244171	0.041185
ENSG00000140859	90.5072
ENSG00000102024	92.954
ENSG00000259242	0.4682
ENSG00000227426	0
ENSG00000100034	7.6819
ENSG00000176893	0
ENSG00000176410	3.8167
ENSG00000231064	0.70947
ENSG00000153560	94.4943
ENSG00000118526	0.029812
ENSG00000230948	0.11833
ENSG00000241552	1.6329
ENSG00000225972	51.768
ENSG00000134905	43.2637
ENSG00000272203	0.20449
ENSG00000237914	0.070016
ENSG00000281473	0
ENSG00000234193	1.8117
ENSG00000132915	0.51518
ENSG00000260261	6.1889
ENSG00000175728	0.069655
ENSG00000197056	16.4488
ENSG00000265893	3.5172
ENSG00000223589	0.36194
ENSG00000244681	2.1429
ENSG00000162892	0.041929
ENSG00000133398	98.4419
ENSG00000280308	3.0278
ENSG00000184672	0.16953
ENSG00000249264	1.0123
ENSG00000226235	0.070606
ENSG00000275332	0.42089
ENSG00000240361	0
ENSG00000263390	0
ENSG00000273998	0.65605
ENSG00000224781	0.049285
ENSG00000259752	1.7459
ENSG00000236723	1.2406
ENSG00000171792	51.5226
ENSG00000140478	0.13228
ENSG00000114302	37.7925
ENSG00000156096	5.9536
ENSG00000139684	194.0942
ENSG00000019485	7.5544
ENSG00000214293	21.9163
ENSG00000222398	0
ENSG00000255432	0
ENSG00000271495	0
ENSG00000162595	0.03308
ENSG00000201186	5.6018
ENSG00000213128	0
ENSG00000091986	0.47198
ENSG00000267857	0.24009
ENSG00000232886	0
ENSG00000211674	0
ENSG00000197566	4.8984
ENSG00000253049	0
ENSG00000276078	2.8316
ENSG00000274141	9.3328
ENSG00000242325	1.8521
ENSG00000263537	1.4853
ENSG00000230383	0.38619
ENSG00000237469	0
ENSG00000258561	1.696
ENSG00000156304	44.0749
ENSG00000148584	91.707
ENSG00000139173	9.0951
ENSG00000226745	0
ENSG00000121644	59.1135
ENSG00000182048	0.018768
ENSG00000282246	0.79776
ENSG00000277270	0
ENSG00000251595	16.038
ENSG00000240871	0.22669
ENSG00000138829	0.2135
ENSG00000266666	0
ENSG00000271522	0.34905
ENSG00000187105	1.8629
ENSG00000114353	66.5983
ENSG00000196950	52.7455
ENSG00000260918	0.053083
ENSG00000206845	0
ENSG00000163646	0.23177
ENSG00000211701	0
ENSG00000113525	1.363
ENSG00000276105	0.30428
ENSG00000227008	0.78929
ENSG00000101473	13.1975
ENSG00000181827	26.9079
ENSG00000264163	0
ENSG00000135912	180.2193
ENSG00000248100	0.038347
ENSG00000180900	14.5718
ENSG00000241134	0
ENSG00000253559	2.5681
ENSG00000225554	0.1781
ENSG00000232913	0
ENSG00000248583	14.2158
ENSG00000100418	61.1702
ENSG00000237979	1.0963
ENSG00000146802	11.8883
ENSG00000267292	0
ENSG00000212447	2.8838
ENSG00000233659	0
ENSG00000228683	0.25813
ENSG00000277780	0
ENSG00000254751	0
ENSG00000229901	0.63626
ENSG00000132153	58.7602
ENSG00000231156	0
ENSG00000259334	0.54088
ENSG00000252368	0
ENSG00000238122	0.081178
ENSG00000138448	124.9282
ENSG00000189043	92.513
ENSG00000248610	0.13425
ENSG00000226180	1.378
ENSG00000130595	0.19585
ENSG00000227518	3.3688
ENSG00000241644	1.1859
ENSG00000257880	0.37373
ENSG00000006432	11.4149
ENSG00000089250	0.066477
ENSG00000132744	8.0922
ENSG00000271077	0
ENSG00000141485	109.1155
ENSG00000267439	0.65357
ENSG00000234285	0
ENSG00000255497	1.378
ENSG00000124641	25.3682
ENSG00000227492	1.1554
ENSG00000186814	13.4134
ENSG00000265985	3.0006
ENSG00000130803	31.7891
ENSG00000237980	0
ENSG00000125385	0
ENSG00000106460	36.8842
ENSG00000115107	22.6388
ENSG00000226327	0.073294
ENSG00000263482	0
ENSG00000224873	0
ENSG00000259844	0
ENSG00000215603	0
ENSG00000203661	0
ENSG00000234312	0
ENSG00000229456	0.17311
ENSG00000271587	0.49382
ENSG00000222370	0
ENSG00000135900	111.878
ENSG00000218732	0
ENSG00000211766	0
ENSG00000239944	0
ENSG00000232978	0.30031
ENSG00000144229	0.023286
ENSG00000253021	3.0303
ENSG00000079462	38.083
ENSG00000255524	0.37064
ENSG00000248165	0
ENSG00000124260	0.18088
ENSG00000263629	0
ENSG00000242417	0
ENSG00000251687	0.17726
ENSG00000213194	0.10512
ENSG00000202470	2.9104
ENSG00000111087	1.646
ENSG00000252905	0
ENSG00000258653	0.85478
ENSG00000226837	0
ENSG00000240963	0
ENSG00000197323	98.6805
ENSG00000235058	0
ENSG00000279299	0
ENSG00000207053	2.8144
ENSG00000256150	0.88423
ENSG00000200087	102.959
ENSG00000233121	0.06878
ENSG00000237441	41.7288
ENSG00000271614	0.29017
ENSG00000266758	5.1395
ENSG00000242391	0
ENSG00000280884	0.69266
ENSG00000228265	6.4456
ENSG00000136717	3.5356
ENSG00000261126	1.5996
ENSG00000206937	0
ENSG00000176567	0
ENSG00000156299	0.51018
ENSG00000259399	40.4315
ENSG00000092820	172.7219
