"Gene.name"	"SRR2153294"	"SRR2153296"	"SRR2153298"	"SRR2153300"	"SRR2153302"	"SRR2153304"	"SRR2153306"	"SRR2153308"	"SRR2153310"	"SRR2153312"	"SRR2153314"	"SRR2153316"	"SRR2153318"	"SRR2153319"	"SRR2153321"
"Dnajc24"	71.619	69.224	49.9225	48.1682	61.4243	38.684	54.49446	39.93601	46.828	46.828	45.43905	40.72	68.39076	49.7302	56.90187
"Dnajc25"	448.469	470.29606	316.4347	266.8614	272.93496	322.261	371.962	243.0449	280.397	269.2932	257.6347	264.2257	321.4751	315.292	324.4556
"Dnajc27"	18	33.54638	33	26.80894	49.10053	25	15.92354	11.06381	26.12301	13.404522	6.78089	22	16.85035	24	13
"Dnajc28"	332.9997	295.9999	263.0003928	225.9996	273.000203	236.9996	182	289	209.0001	149.9995	164.00025	310	317.0003	228.0002	206
"Dnajc3"	4393	5652	3368	3073	3188	2911	2944	2834	2738	2219	3058	2917	3561	3626	2790
"Dnajc30"	369.745	274.361	234.434	240.85	294.591	237.568	327.028	248.736	274.573	189.634	179.815	274.908	310.491	181.45	225.264
"Dnajc4"	178.3774	189.1823	133.1315	132.0215	188.2368	124.2476	306.299	157.9311	158.6956	157.6564	93.89799	134.76	158.7645	125.3664	217.5351
"Dnajc5"	1026.8594	936.933	857.5965	705.5352	818.9451	559.937	678.59365	755.8536	647.6073	504.98564	612.61932	682.0355	749.93805	660.9969	772.8208
"Dnajc5b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dnajc5g"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dnajc6"	8.00000142391	1.000000241745	2.999999403463	0	0	1	1.999998252181	2.000000401939	1.99999893884	0	0	2.000000186861	1.999999209647	0	2.000002169779
"Dnajc7"	19.7064	12.3406	36.9215	20.2293	12.3501	12.2754	113.236	52.4413	25.948	24.1901	49.5461	83.0023	77.8051	42.0038	86.9413
"Dnajc8"	453.856	427.8191	373.5251	340.993	422.62427	327.121	548.4731	349.2526	391.6927	245.79791	243.6602	291.22374	478.119	377.8138	417.9025
"Dnajc9"	67.1704	97.3694	71.7459	68.3548	101.081	80.4004	104.119	67.8588	61.1392	40.2441	46.6101	97.108	82.4529	78.1047	102.494
"Dnal1"	25.8173	25.7621	23.747068	16.0111	48.16235	44.1923	22.0649	30.09376	28.8571	19.7365	26.7774	41.880263	40.8313	23.18877	21.0327
"Dnal4"	132.99986	121.99984	90	84.00001	102.99998	105.99998	155.99955	103.99994	107.00046	61.99999	68.99999	94	107.99998	91.99993	69.00001
"Dnali1"	1	1	1	0	2	1	1	0	3	0	2	0	1	0	0
"Dnase1"	1.35794	1.103643	1.36789	0	8.98499	0	0	4.001563	0	4.595075	0	6.33541	0.680920798	0	4.30168
"Dnase1l1"	58.1403	71.8525	60.3514	56.5931	63.0661	50.1101	56.0566	39.2824	59.3965	27.3296	27.456	50.2705	62.2516	49.4024	24.3306
"Dnase1l2"	23.2446	35.5631	14.87436	8.79823	22.54503	9.78101	20.3285	3.8541847	9.62665	13.7085	14.7054	9.47408	19.1685	22.8034	28.8073
"Dnase1l3"	1509.88	1158.59	829.702	1007.02	860.043	945.006	1042.63	660.055	1064.87	589.053	799.925	1035.42	852.26	888.062	848.065
"Dnase2a"	299.94379	319.62301	294.64879	231.25888	263.51744	196.507	408.63268	247.8732	313.69917	170.85094	165.85084	220.90911	304.928	187.34659	326.68786
"Dnase2b"	802	786	520.0001	509	500.9999	496	487.0005	518	470.9998	400	576	567.0003	710	520.9995	501
"Dnd1"	7.84103	8.8184	0	0	0	7.23522	4.80198	0.90099	0	0	5.80163	0	5.3966	0	6.86466
"Dner"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Dnhd1"	76.55656	72.17371	52.8042	45.75156	49.24124	83.87194	38.25432	49.25941	40.21808	31.6662	58.76318	45.9268	62.80763	76.11325	49.75319
"Dnlz"	265.787	289.385	229.575	222.281	216.856	219.465	432.186	245.982	196.823	170.008	172.521	279.268	260.535	217.566	288.864
"Dnm1"	8.4386	9.58556	10.9343	8	16.99998	2.35236	8.38827	3.6681	2.96409	0	5.999913	11.2618	8.03217	3.62814	1.48344
"Dnm1l"	854.5828	912.41754	719.7101	668.6023	760.9032	572.5753	341.647927	561.4384	612.57886	474.59206	564.72953	669.6064	840.383620010079	678.24704	371.604976802
"Dnm2"	837.0349842	860.758300103817	850.4792	770.3429	775.7139	606.2871	566.40442	590.7656	741.654020216	485.748775	529.707100016438	635.666800038344	689.4035459832	697.23448419	411.58094839
"Dnm3"	19.18285	11.99999	15.931384	10	16.72415	10.77261	7.65473	6.56346	5.999996149	3.198548	11.2678	3	11.69651	15.61037	6
"Dnmbp"	1081	1443.001	1009.001	614	863	964	456.9997	866.001	724.001	455.999	801	1125	1408.001	1009	605.0005
"Dnmt1"	262.42472	251.8233	243.9353	264.99958862	276.0003	144	128.8701	165.943960678	223.0003	127.2954	219.87108	236.319	221.22702	207.0004	126.004
