"Gene.name"	"SRR2153294"	"SRR2153296"	"SRR2153298"	"SRR2153300"	"SRR2153302"	"SRR2153304"	"SRR2153306"	"SRR2153308"	"SRR2153310"	"SRR2153312"	"SRR2153314"	"SRR2153316"	"SRR2153318"	"SRR2153319"	"SRR2153321"
"Copz2"	22.9542	23.2186	22.7563	23.8871	27.1806	27.7127	34.7719	24.7174	26.5137	25.2508	19.57	35.8555	25.3578	26.8396	30.3069
"Coq10a"	23.090858	24.799760253167	26.43075	28.524178851	30.425019	19.7093845194	30.35163	22.741822	27.731088	24.58143	30.625732	25.1116521919	23.051451684	22.64993	28.3178773
"Coq10b"	83.20361	76.03004	82.66656	69.22922	71.12503	70.48	43.01492	35.1817	82.84194	66.51421	49.53454	44.474123	62.9119	65.23223	59.228702
"Coq2"	22.1482	22.57554	24.59937	26.39517	26.28722	26.62913	25.69257	27.50906	25.48529	25.29813	23.23951	26.34976	23.37263	26.26141	21.67841
"Coq3"	8.89098	8.60088	9.0205	10.875	10.8898	9.57138	10.1485	9.84671	9.86853	8.5871	10.5204	10.4412	8.14873	8.98033	10.0668
"Coq4"	3.34806	2.79569	2.3936	2.46431	1.56346193244	2.02533	3.71012	2.52682	3.69857	3.94359	1.39632	6.13789	3.6306	2.18196	3.66137
"Coq5"	15.9262	15.6159	17.913	18.2494	19.549	16.4974	11.8475	14.7795	19.586	14.2824	16.3374	15.893	16.214	20.2851	12.5248
"Coq6"	7.88696454	9.603799	12.2429	12.03909	11.953807	10.903	10.400956	6.93145	9.74239	9.52584	11.906953367739	10.280935	8.51656	8.852918	7.538232
"Coq7"	20.879399	29.43506	27.5641	30.1602	24.196471	25.8641	46.1177	31.08553	22.4362	36.3959	26.6988	28.4816	24.0635	30.5994	36.9264
"Coq8a"	89.237262	74.1925540854	102.6417	188.22885	148.566166	117.79423	62.0899	120.895472218	110.473644729	91.55602	94.9920889993	127.25766	99.2103756	75.56959	62.8984
"Coq8b"	9.76514	9.291875	9.63107	9.58917	10.9443	7.94584	7.15752	8.37107	13.5606	7.8114	7.77462	8.50564	8.53436	8.20299	6.70199
"Coq9"	91.47896	85.67617	98.16578	99.1129	98.41858	91.7068	87.67648	97.98553	103.14422	92.28815	93.66918	100.11435	94.9966	96.46211	93.33531
"Corin"	0.432378	0.411265	0.469441	0.770786	1.486206	0.7742475	0.2656313	0.530102	0.710491	0.435844575099765	0.675916	0.5890546	0.7395049293	0.4792521	0.16825834543
"Coro1a"	4.679698	5.194423	4.530061	5.90241	6.079775195287	4.09093028	6.474041	6.51813	11.461378	6.100282	3.385163	5.44335100966116	5.021780994143	2.889465	5.853664
"Coro1b"	43.44926	40.670494	61.26222	54.5131	51.19596	37.94856	38.773712	48.9752	63.37028	38.6214	30.61651028	49.58072	47.3012	43.79503	35.4666
"Coro1c"	7.05833	6.53305	9.08039	10.0121	9.13549	7.28596	3.18547	6.65954	10.5687	6.80111	8.25697	7.77137	7.23927	8.47875	3.33944
"Coro2a"	0.52289801032	0.28526100787	0.495842	0.35195766432	0.46338986	0.32672021198	0.246431821074	0.58687439488	0.72808845211	0.31722517328	0.18630643771	0.64602043758	0.32657585899	0.311179	0.215396
"Coro2b"	1.359	0.749913	1.618052	1.9106854	1.0782405	2.418086	0.486546	1.988716	1.797057	1.368998	1.688533	1.373818	1.6671289	1.204008	0.383919
"Coro6"	0.646467	0.492911	0.6774516	0.6854	3.0236413	0.313561	0.526272	0.337363	0.392241	0.411448	0.547927	0.65797	0.576016	0.439105	1.0162038
"Coro7"	5.266715	5.693081	7.79062	6.007212	6.329879	4.239627	4.302019	6.41295	8.42192	5.538878	5.66321	4.890244	4.571587	6.332752	3.67737
"Cort"	0	0	0.152222	0	0	0	0	0	0	0	0	0	0	0	0
"Cotl1"	12.2165	10.4341	12.1975	14.6139169675	13.0336617	10.8622	12.0848	13.9573	24.1375	11.4317	9.50495	15.4049	11.1208	9.953843	13.0607
"Cox10"	5.67974	5.68832	6.91097	5.51301	5.7031	4.82176	5.67824	5.44375	6.72903	5.40746	5.8591	5.29908	4.97016	7.53699	4.91071
"Cox11"	9.14875	9.34019	9.56229	12.23616	8.21942	7.93924	9.782539	8.22817	7.86661	10.09021	7.96729	7.34189	6.83817	10.84003	6.81694
"Cox14"	14.1888	11.6265	13.8277	14.5788	14.1908	11.8768	20.4914	15.0456	14.1307	12.3412	12.7345	13.6585	15.3622	14.0573	19.1434
"Cox15"	7.80495	7.59365	8.77976	9.75945	8.96877	6.91183	4.88723	7.05665	8.18007	8.92075	7.11055	7.86121	6.57415	8.94077	4.1951
"Cox16"	58.104755	55.057555	63.048275	55.017431	65.70983	57.7164	86.198238	65.121211	67.7051	61.819281	58.25277	57.25351	61.660567	58.32351	84.88904
"Cox17"	83.1003	92.74493	102.36099	98.50557	93.57462	91.54055	194.635606	110.42002	95.22453	92.95974	82.57891	102.85167	102.14329	98.58714	162.280548
"Cox18"	3.761025	3.690185	4.3209	4.73269	3.97559	5.68508	4.07181002665	3.37773	4.54318	3.83083	3.392729	4.01907	4.15058	4.6849	5.65191
"Cox19"	12.08873	10.36364	9.80093	16.14044	15.22574	13.531	16.56272	17.84937	13.60953	9.69586	10.0011	11.67721	14.86315	11.42583	14.00453
"Cox20"	46.4726	54.403	38.041	54.1664	58.1014	50.694	100.883	59.3664	53.4008	64.3696	53.0956	54.6158	55.0266	52.6016	65.2022
"Cox4i1"	699.6879	623.6075	762.0653	721.47148	729.88688	669.0259	1061.38119	671.09801	752.2332	651.9867	622.5024	751.98499	653.54869	641.6912	1014.8973
"Cox4i2"	0.104254363571	0.40571563003	0	0.622029	0.668294	0.150197529527	0.7861258125	0	0	0.19706413408	0	0	0.454624	0.15741876024	0.12018519771
"Cox5a"	364.493	339.099	362.934	359.509	343.304	326.609	529.458	317.736	354.646	336.489	357.8	358.919	329.722	378.394	505.537
"Cox5b"	131.548724	101.0687	115.80508	107.58889	107.8315	95.268957	214.10007	165.28048	99.26738	106.3737	89.22742	117.14631	150.4841	122.901062	164.8871
"Cox6a1"	703.69	600.442	683.307	722.062	658.936	599.343	1069.41	740.896	699.476	579.558	587.787	758.964	696.364	727.3	939.04
"Cox6a2"	6.38596	7.87704	8.01946	6.80383	34.6489	6.40725	7.20145	6.33654	8.98279	6.25099	7.3136	4.95207	3.89606	3.96028	3.94379
"Cox6b1"	482.989	439.103	526.494	489.783	505.238	488.052	932.382	547.762	489.786	494.36	411.391	481.92	519.496	513.199	982.458
"Cox6b2"	0.957056	0	1.30701	0.76773	1.979601	0.4827728	0.372234	0.733335	0.771934	0.509393	1.100116	2.15272	0.964258	0	1.492818
"Cox6c"	769.0328	696.94574	706.3579	661.583401	740.93569	709.271909	1029.26357	729.75757	716.57975	710.017868	737.32003	697.37019	763.15851	727.93917	1093.183325
"Cox7a1"	13.788528	14.81292	11.25856	14.12091	38.87151	12.6924	25.4825	12.351498	15.35665	14.6343	16.465688	11.252893	11.475	19.63845	32.52447
"Cox7a2"	309.791	283.671	299.255	298.095	285.249	302.532	462.741	327.501	286.931	308.407	284.297	324.601	315.435	309.455	446.892
"Cox7a2l"	146.17143	165.22396	151.36599	139.10767	141.8822	152.8721	200.217	166.45778	156.0132	156.9411	147.53822	146.68964	158.40665	151.43309	215.5353
"Cox7b"	211.355	185.656	192.843	189.259	195.027	204.811	265.892	204.655	192.337	207.51	191.712	193.403	193.785	209.352	295.461
"Cox7b2"	0	0	0	0.23476	0	0	0	0	0	0	0	0	0	0	0
"Cox7c"	607.51791	574.30113	569.70449	559.86369	587.26168	610.3603	780.6782	642.3612	588.29308	572.17118	504.62429	600.80225	611.849	584.27565	899.67254
"Cox8a"	558.56	488.788	552.1	521.304	493.087	488.154	641.687	643.961	520.051	427.017	432.336	533.895	594.585	599.735	605.805
"Cox8b"	3.47208	4.29924	4.18821	2.82491	45.7276	5.45692	6.54526	1.34917	4.06865	2.38655	3.54265	1.28504	2.43513	2.38302	2.18325
"Cox8c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cp"	362.536468	406.724856	366.555015	443.60732	420.335129	297.812714	379.812843	354.759578	443.381651	355.17142	465.79763	425.226261	388.512583	374.462352	365.135226
"Cpa1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cpa2"	0	0	0	0	0	0.0680798	0	0	0	0	0	0	0	0	0
