"Gene.name"	"SRR2153293"	"SRR2153295"	"SRR2153297"	"SRR2153299"	"SRR2153301"	"SRR2153303"	"SRR2153305"	"SRR2153307"	"SRR2153309"	"SRR2153311"	"SRR2153313"	"SRR2153315"	"SRR2153317"	"SRR2153320"
"Cxxc5"	7.176293	6.192342	7.614641	12.323379	10.576997	6.61943	5.679177	9.289183	8.482848	7.820069	10.458151	4.7409	8.418585	4.515542
"Cyb561"	2.990395	4.916667	2.95864	2.369716	2.066163	3.477792	2.536095	4.727392	2.70393	2.532436	3.02875	3.347966	4.2825045	3.580645
"Cyb561a3"	4.948467	5.886453	6.0080688	5.521654	4.8535557	4.960816	4.5645360092733	6.340188	5.387831	5.989483	5.926898	4.9513751	6.70873	4.002293
"Cyb561d1"	1.20794149	1.605838	1.517432522	1.6137545	2.008103	1.7061089465	2.239952	2.818466	1.797378	2.974229	2.327678	1.815297	3.296778	1.276367
"Cyb561d2"	1.963584	2.320777	2.050918	4.160766	2.5176591	2.174364	2.223134	3.488798	3.062905	3.493114	2.609516	2.1865033	3.894973	2.083525
"Cyb5a"	40.0483	53.7787	61.1889	35.4415	41.577821	35.5315	40.5457	89.7718	56.7083	48.61755	41.4193	44.7162	51.5498	50.389
"Cyb5b"	16.4861	19.8501	20.2978	21.7776	19.0875	22.834	17.7035	20.0691	19.2235	20.6618	19.7894	17.6556	16.7121	16.2822
"Cyb5d1"	17.45322	15.74616	16.68231	7.96372	14.52711	16.36763	14.53015	16.76519	7.20218	14.55179	18.31938	16.36412	17.89577	14.12517
"Cyb5d2"	6.66513	7.42776	7.11581	8.07082	8.01493	7.76308	7.09011	6.92221	7.87762	8.40932	6.80658	6.08203	8.07698	7.31294
"Cyb5r1"	93.03027	35.9688469	31.203598	59.70891	39.21711	113.54581	32.0185301221	26.9252	57.78079	233.1447	37.61439	39.1286514	39.83276	31.601
"Cyb5r2"	2.21904	1.89746	2.91037	1.512733	2.78321	4.238833	1.9999	2.576158	1.85161	4.328403	2.7046	1.97317	2.97654	1.71729
"Cyb5r3"	19.986251	23.529665	25.946753	42.114637	25.584483	24.993399	21.966756	35.523082	30.5752759	23.782814	25.003705	24.027755	27.614278	21.779583
"Cyb5r4"	16.4964	16.4429	15.7686	10.5575	17.2094	15.4402	16.8452	17.1265	11.8448	16.1931	14.7433	17.1169	18.262	15.4274
"Cyb5rl"	5.890942	8.3895736	5.155409143421	6.026004	5.08329000062119	5.566696	7.675598	3.5332433135	6.924942	7.36604	6.8656990007063	8.7799454	7.18258773	4.046264
"Cyba"	10.2587	10.3168	10.1748	24.3273	12.400555	9.418185	6.376978	17.80783	45.34597	8.76444	12.5716	10.45399	13.23842	8.06348
"Cybb"	0.888177	1.471616	1.397265	1.66807	1.42498	0.774909	0.539995	2.1064	4.36461	0.908223	2.268288	0.839124	1.30193	0.348805
"Cybc1"	2.56336997667	2.854126	3.956747	4.160809	2.692888	2.699884	2.314389	5.045684	5.38662	2.536397	2.628667	3.060638	3.36105	2.213124
"Cybrd1"	0.131571	0.0809397	0.294738	0.159082	0.0571536	0.192208	0.095768	0.28635	0.172824	0.108677	0.227253	0.250369	0.0772885	0.0921786
"Cyc1"	168.112	185.565442	177.590572	204.389006	180.205647	170.635033	156.7600335943	154.204	263.51334	161.709	183.7549896	150.864	161.33900843717	152.857606
"Cycs"	54.8764	63.9308	65.5218	48.0474	64.3122	58.8853	60.1057	54.9505	86.7016	45.2655	69.5887	57.1364	66.773	60.9624
"Cyct"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyfip1"	6.72466	8.128745	8.22304	7.01706961	8.275141	7.2693722843	7.703913	9.03135	5.839470271088	8.56354122096	8.68968	8.00506682	10.96437	6.810648
"Cyfip2"	0.6313419	2.189745	1.1143	0.470423	4.361079	2.329132	1.03581	0.482609	1.4684025838	0.9821742	2.3363646046	2.140384	1.472925	1.377449
"Cygb"	8.08166	10.7194	10.6361	15.9796	12.5245	10.5095	6.9187	18.2354	16.9879	8.63854	12.0326	8.79681	13.8654	7.44199
"Cyhr1"	38.17805	39.85055	34.3854	63.178548	42.048796	39.179791	42.17069	41.599727	41.69724267224	43.37401	43.580804	38.3852	41.39542	35.65208
"Cylc1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cylc2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyld"	8.05125306	7.449331	7.83081150139415	3.72424362683174	8.68216733	8.67985400571174	7.32835171995886	8.8703489	4.478427	8.023803865724	7.9721550907195	9.22664610062597	7.420254	6.98159480088359
"Cym"	0.128087	0.0381541	0.0626283	0.0680822	0.0696703	0.213993	0	0.0695657	0.19467	0.0872465	0.085062	0	0	0
"Cyp11a1"	0.0348758	0.2266688	0.1979016	0.196902	0.653078	0.2254021	0	0.814491	0.244254	0.245536	0	0.188156	0.2948043	0.142525
"Cyp11b1"	0	0.0175716	0	0	0	0.0253948	0	0	0	0	0	0.201572	0.0652016	0
"Cyp11b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyp17a1"	0.0413777	0.07696348	0	0.11551	0.177307	0	0.251569	0	0.167699	0.225476	0.109915	0	0.0486362	0.0812492
"Cyp19a1"	0.124848	0.0378685	0.0316861	0.00131497	0.0342992	0.140423	0.0381751	0.111055	0.0334688	0	0.0429403	0.158889	0.0737814	0.0326576
"Cyp1a1"	0.341263	1.5977	0.379514	0.361157	0.271406	0.277876	0.404488	0.258762	0.314649	0.679751	52.795412	0.533999	0.0977504	0.35381
"Cyp1a2"	0.756866	0.549197	0.842692	1.05204	0.20909	0.299704	0.465705	0.177138	1.23847	2.86963	1.10842	1.29328	0.180736	0.188011
"Cyp1b1"	0.1472064	0.3705538	0.362444	0.648314	0.388912	0.3014535	0.1534269	0.641831	0.83472	0.409948	0.22345	0.292918	0.569957	0.171661
"Cyp20a1"	0.840554	2.06101	2.77477	3.08676	2.14191	3.22066	0.785374	4.85818	1.99969	2.65039	2.43052	1.8618	5.02655	1.02051
"Cyp21a1"	0.0360266	0.0242393	0.070461	0	0	0.0802522	0.043807	0.156532	0	0	0.0478502	0.130488	0.0846928	0
"Cyp24a1"	0	0	0	0	0	0	0	0	0.0202866	0	0	0	0.0235341	0
"Cyp26a1"	0.299001	0	0.0821317	0.133926	0	0.0666051	0.0510628	0.136844	0.170196	0.114416	0.278879	0.370295	0.0987207	0
"Cyp26b1"	2.514373	0.92679	2.456024	3.71022110050207	2.15029	0.630443	2.64501	3.330385	2.335963	4.427615	2.9374756993528	1.2458389	2.0372355706	0.753832
"Cyp26c1"	0	0.0257199	0.0422182	0	0	0.0480848	0	0.0468947	0.0874858	0.117627	0	0.0543837	0	0
"Cyp27a1"	47.956	52.1177	47.7462	45.7568	33.1748	35.4314	52.9301	54.8291	30.5616	55.6635	36.5434	53.0818	43.1559	43.242
"Cyp27b1"	0	0	0.0601528	0	0	0.0402977	0.0747963	0.033408	0.0311626	0.0985778	0.0816997	0.0387431	0.0361512	0.0355221
"Cyp2a12"	1.09983	1.01637	1.39219	1.35284	1.07035	0.861976	0.629952	0.468816	0.668973	0.904547	0.76864	0.880424	0.787435	0.323396
"Cyp2a22"	0.0553559	0.133208	0.101123	0	0.0987797	0.0879678	0.127519	0	0.142117	0.20086	0	0.0786982	0	0
"Cyp2a4"	0.176611	0.16324	0.21163	0.171777	0.341313	0.36762	0.357189	0.176373	0.415187	0.408644	0.264266	0.403966	0.190196	0.420804
"Cyp2a5"	3.56705	3.44192	4.2307	4.336269	4.2209204	3.092566	5.57709	3.0602	1.62919	3.115142	2.91291	1.91044	2.210248	2.865296
"Cyp2ab1"	0.0532811663	0.021326634	0	0	0.0778857882	0	0	0.0777686178	0.102678	0	0	0.133449	0.0603709	0.0504263
"Cyp2b10"	0	0.0245459	0	0	0	0	0	0	0	1.16801	0	0	0	0.200943
"Cyp2b13"	0.39516	0.356682	0.318504	0.438003	0.376319	0	0.242669	0.160315	0.215694	0.326248	0.198822	0.0502793	0.200179	0.223119
"Cyp2b19"	0	0	0.0258485	0	0	0	0.266164	0	0	1.83079	0	0	0	0.0385919
"Cyp2b23"	0	0	0	0	0	0	0	0	0	0.734086	0	0	0	0.0350598
"Cyp2b9"	0.48266	0.570355	1.67114	0.919246	0.188039	0.710873	1.06711	0.34664	0.431117	0.706455	0.596026	0.351747	0.550146	0.497001
"Cyp2c23"	1.908794	1.733616	2.375756	1.439919	2.01048	1.804727	2.49729	2.496763	1.056766	2.191975	1.989879	1.709005	2.490167	1.614626
"Cyp2c29"	0.607932	0.948741	2.17477	1.96673	1.28551	1.34921	0.923715	1.1634600393831	0.769701	0.905352	0.728701	0.843203	0.938179	1.24305
"Cyp2c37"	1.095	1.15081	2.18025	1.18704	1.12298	0.819857	0.921179	0.404132	0.63191	0.8746	0.676861	0.199252	0.408786	0.722912
"Cyp2c38"	0.15099	0.119937	0.319841	0.21817	0.223553	0.112114	0.152999	0.0820047	0.0764932	0.141455	0.16712	0.136498	0.147897	0.148242
"Cyp2c39"	0	0.0492416	0.0462387	0	0	0.0460299	0	0	0	0	0	0	0.0485768	0
"Cyp2c40"	0	0.07811364	0.3261	0.1455546	0.10136004	0	0	0	0	0.00714146	0	0	0.006581606	0
"Cyp2c50"	1.575484	1.575434	2.9869	1.586444	0.769422	0.9142894	1.178628	0.696238	0.80626596	0.946477	1.13571	0.682977	0.9013649172	0.864296
"Cyp2c54"	0.707317	0.710947	1.14897	0.736019	0.506747	0.556819	0.55519	0.0532994	0.326891	0.496138	0.335072	0.134266	0.232126	0.500438
"Cyp2c55"	0	0	0	0	0	0	0.0453267	0	0	0	0	0	0	0
"Cyp2c65"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyp2c66"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyp2c67"	1.05747	0.648095	0.966893	0.669924	0.569067	0.448728	0.799784	0.499717	0.42393	0.896614	0.675112	0.29784	0.486444	0.336163
"Cyp2c68"	0.626772	0.702235	1.21889	0.831142	0.692215	0.670008	1.11405	0.401959	0.284181	0.446874	0.485205	0.548149	0.596343	1.01179
"Cyp2c69"	0	0	0	0.21678	3.42793e-05	0	0	0	0	0.0890502	0	0	0	7.91275e-05
"Cyp2c70"	0.484157	0.681762	0.731709	0.514689	0.526694	0.377135	0.613624	0.239047	0.361756	0.366105	0.383005	0.320578	0.310412	0.345705
"Cyp2d10"	4.23754	3.118194	3.51926	2.75358	4.894937	3.16763	4.28577	3.623951	3.585323	7.067755	4.86135	4.930563	3.58585714	2.16551
"Cyp2d11"	0	0	0	0.0593937	0	0	0	0.0674686	0	0	0	0	0	0
"Cyp2d12"	0	0.0349251	0	0	0	0	0	0	0	0	0	0	0	0
"Cyp2d22"	4.73021	5.82807	5.490853	5.59993	3.287873	7.029755	4.49145	8.15335	4.43413	6.26108	6.403666	6.003419	5.756446	4.74249
"Cyp2d26"	2.16358	1.44816	3.05879	1.20444e-09	2.40025	1.61555	2.58877	1.37789	5.45757e-10	6.20709e-10	1.27912	0.713479	0	1.73932
"Cyp2d34"	0.0462012	0	0	0	0	0	0	0	0	0	0	0.0591916	0	0
"Cyp2d40"	0	0.0632263	0	0.22503	0.0770725	0.47452	0	0.0747265	0.0914713	0.288011	0.10262	0.30918	0.163207	0.257529
"Cyp2d9"	1.95726595	1.611337	1.604959	2.223729	1.5906379	1.54777	2.42639	1.0981949	1.8090137	3.06331	2.82326	2.194871	1.3198027	1.0117471
"Cyp2e1"	38.77092	93.9619	113.966389	53.05069	43.5663	53.7071	60.00356	206.20012	30.17746	52.23117	48.36316	54.235702	38.5785	78.849292
"Cyp2f2"	2.2471	2.72525	5.18672	3.02867	1.13721	2.361424	2.39084	28.60108	1.50432	4.332461	1.407991	2.9823	1.424051	7.28834
"Cyp2g1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyp2j11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyp2j12"	0	0	0	0	0	0	0	0	0	0.161985	0	0	0	0
"Cyp2j13"	0.098049	0.0769084	0.0658774	0.0514633	0.105327	0.110758	0.0392435	0.074311	0.0327003	0.0879328	0.130628	0.0214582	0.0590126	0.0633724
