"Gene.name"	"SRR2153293"	"SRR2153295"	"SRR2153297"	"SRR2153299"	"SRR2153301"	"SRR2153303"	"SRR2153305"	"SRR2153307"	"SRR2153309"	"SRR2153311"	"SRR2153313"	"SRR2153315"	"SRR2153317"	"SRR2153320"
"Tesc"	0	0	0	14.2669	8	0	0	10.3902	0	5.19773	6.4273	0	0	0
"Tescl"	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Tesk1"	289.07	551.822	214.747	494.185	308.103	308.866	286.359	229.167	297.764	219.21	264.752	179.28	245.889	247.242
"Tesk2"	37.56209	81.7901	48.1657	36.9404	36.9079	42.19037	34.1905	58.6801	35.34661	23.236339	22.9065	41.73226	28.4954	42.3752
"Tesmin"	6	8	8.0000006	10	5	6	5	2	14	5	1	7	17.99997	8.000002
"Tespa1"	0	1.73162	0	2	0	0	2	7	2	1	0	0	1	0
"Tet1"	29.02741	43.52735	48.11288	17.016	19.27687	29.77254	19.1084	38.17635	14.275487	21.8668	30.3318	14.0148	6.596806	22.4500808
"Tet2"	395.80453	511.2210840087	291.2331	42.194904	272.4560391512	442.958	255.53213	287.819	61.5181000709714	217.581000048989	260.739	349.775689	203.96775721791	338.34573
"Tet3"	365.0003	671.0004	371.69072	217.67704	352.9862	349	307.00044	428.9942	213	386.0004	318	187.0002	332.0002	267.9999
"Tex10"	263.9191	369.8512	236.6375	87.78112	200.652	240.9333	206.0506	244.1145	74.1316	170.849	195.4111	220.5381	232.164	216.871
"Tex101"	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Tex11"	0	0	0	0	0	0	1.0000004086	0	2.999998716	1	0	0	0	0
"Tex12"	0	0	0	0	0	1	0	0	0	0	1	0	0	0
"Tex13a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex13b"	2	2	4	3	3	8	3	1	1	2	2	4	1	1
"Tex13c1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex13c2"	0	0	0	0	0	0	0	0	1	0	1	0	1	0
"Tex13c3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex14"	0	1	3	2	0	2	1	4.19711	1	1.999996	5	0	0	1
"Tex15"	2.000003	1	1.15744	7	0	0	0	0	2	0	1	0	1.42343	1
"Tex16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex19.1"	0	0	0	0	0	1	0	0	0	1	0	0	1	1
"Tex19.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex2"	1039.99988	2169.0006	1257.9946	1258	1192.00025	1226.00006	952.00053	1180.998873	933.99946	958.00018	978.00034	959.0004856884	1148.99989	1153.99983
"Tex21"	0	0	0	2.000001	0	0	0	0	0	0	0	0	0	0
"Tex22"	0	0	0	0	0	2	0	2	0	0	0	0	0	0
"Tex24"	0	0	0	0	0	1	0	1	0	0	0	0	0	1
"Tex26"	1.76123e-06	3.60644e-06	1	0	0	2.38393e-05	0	3.20531e-05	1	0	0	4.86112e-05	0	0
"Tex261"	977.169	1957.73	1163.07	993.961	1063.89	976.243	925.128	1065.88	834.056	956.914	800.314	879.28	1030.03	1061.54
"Tex264"	286.5923	431.5579	349.3434	433.1197	251.0794	313.8673	254.7368	462.0911	449.0314	306.2529	237.1011	239.754672	285.5279	312.4648
"Tex28"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex30"	66.000029811	104.99998	58.999976	39	45.00004	73.999972	54.00001	66	67.99999	56	46.00014	58.99999	41.9999846642	66.99993
"Tex33"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex35"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Tex36"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex37"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Tex38"	12	23	13	21	13	12	7	9	16	9	16	3	7	6
"Tex43"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex44"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Tex45"	0	3	0	0	0	2	0	1	0	1	1	0	0	0
"Tex46"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex47"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Tex48"	3.00000303365	1.00000013375	3.0000045243	2.0000025564	0	1.0000002655	0	0	0	1.9999978844	0.9999995393	0	3.0000030584	0.9999999821
"Tex50"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex52"	0	0	0	1	0	0	0	2	1.16107	0	0	1	0	0
"Tex55"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tex9"	38.63717	31.49651	33.71597	8.79935	3.79017114068	30.49482	29.3354	24.515782393	7.69419	27.16951	19.02896	19.53025	23.71927	29.66072
"Tfam"	797.0001781	1203.34156	825.21519	681.493	627.084228069	710.7258	616.1838	576.90616	662.348324	658.9	544.6723	532.31956	605.889	678.9685
