""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"0610009B22Rik"	260.886143285968	0.112441663517554	0.211708758648966	0.531114840194181	0.595339201042382	0.836101520792239
"0610010F05Rik"	277.031579412858	0.0970980645579183	0.192437725662344	0.504568759705094	0.613861756500492	0.845966681978412
"0610010K14Rik"	154.481976573925	-0.16343911470392	0.194076124889639	-0.842139211079464	0.399710035266375	0.710162996073144
"0610012G03Rik"	606.612596454176	-0.320433447465988	0.163826207986128	-1.95593520356108	0.0504727876665773	0.305829435444791
"0610030E20Rik"	260.355997515344	0.288319191789545	0.178990828022757	1.61080427960749	0.107222388041198	0.407039870360963
"0610040J01Rik"	148.43157273557	-0.454395790069903	0.187768503492439	-2.41997875904785	0.0155214137186167	0.19892387650077
"1110002E22Rik"	2125.00129266445	0.0662470135366777	0.256163706927248	0.258612019365773	0.79593460855459	0.931271302487418
"1110004F10Rik"	649.412742400099	0.0806941031624509	0.0870410357631622	0.927081145748527	0.353884404562504	0.672918255290732
"1110008P14Rik"	211.865248889695	-0.0425913811431097	0.190315111167454	-0.223794006066258	0.822917594156809	0.940655171017403
"1110012L19Rik"	230.546030970142	-0.312382683430511	0.203121605795052	-1.53790967833182	0.124070700552645	0.434227620868274
"1110017D15Rik"	0.149289587953773	0.941566285373359	4.40737335908757	0.213634336975773	0.830832220469575	
"1110025L11Rik"	0					
"1110032A03Rik"	190.478719015388	-0.182503970254409	0.18546686273502	-0.984024680005264	0.325103378289017	0.649981209624872
"1110032F04Rik"	0.225505913620588	0.220248966561616	4.40737335908797	0.0499728406506485	0.960144031292867	
"1110038F14Rik"	172.790846348224	-0.351802817961202	0.266024686619596	-1.32244425294358	0.18602026116568	0.513615908126789
"1110051M20Rik"	413.387917350907	-0.0386926176398967	0.217193586312014	-0.178148067338932	0.858606693466575	0.955208698822572
"1110057P08Rik"	0					
"1110059E24Rik"	89.7993337489412	0.223371180733002	0.234250881997073	0.953555345570878	0.340308768356499	0.662565941347298
"1110059G10Rik"	107.761067634647	0.0921841378744798	0.233982494308787	0.393978780963094	0.69359670524771	0.884636214725031
"1110065P20Rik"	127.637758615317	-0.475907490116213	0.255417494558451	-1.86325330196716	0.0624266368515647	0.331553781936674
"1190005I06Rik"	8.587437887216	-0.664155391567246	0.762538376692886	-0.870979627868273	0.383765276644983	0.695896077159749
"1190007I07Rik"	192.929159014897	-0.0743481920872456	0.187687911337542	-0.39612669541373	0.6920115656138	0.884108101432389
"1300017J02Rik"	33.1756001167033	-0.633955756274642	0.377708117192925	-1.67842767316232	0.0932636390469085	0.383953078579116
"1500009C09Rik"	0.0621463631636934	0.941572465654834	4.40737335908797	0.213635739235325	0.830831126871131	
"1500009L16Rik"	7.63484387979364	-1.0527415868559	0.619799576363938	-1.69851937142619	0.0894097797182192	0.376917939133944
"1500011B03Rik"	14.6523494037613	0.593243202376691	0.519410376439912	1.14214738342895	0.253392762564877	0.585211783266118
"1520401A03Rik"	0.0847651071659492	0	4.40737335908757	0	1	
"1600002K03Rik"	116.532239639843	-0.513407430680623	0.364978300814597	-1.40667932733191	0.159522498441705	0.481272964833864
"1600012H06Rik"	168.538075188505	0.0852280396989276	0.158980027015366	0.536092748875242	0.591894451281911	0.834818099187199
"1600014C10Rik"	426.283715203619	-0.151277206561547	0.103929573324939	-1.45557420974465	0.145510361808427	0.463965214272544
"1600014C23Rik"	0					
"1700001C02Rik"	0					
"1700001C19Rik"	1.47610311244802	-0.213896046383632	1.41898836203278	-0.150738407802876	0.880182074342476	
"1700001F09Rik"	0					
"1700001J03Rik"	4.7446895273192	0.343587566030286	0.901416962031546	0.381163857018992	0.703081666268776	0.889914053944859
"1700001K19Rik"	7.13312105432199	0.673443339102009	0.597386396635639	1.12731616068713	0.25960883203731	0.589548265899049
"1700001L19Rik"	0.706740185128611	-0.495644664778423	2.11520310587378	-0.234324856748768	0.814732790135384	
"1700001O22Rik"	26.7108508707492	-2.17271946827865	0.635229760610785	-3.42036787789908	0.000625365046939889	0.0440964428502561
"1700001P01Rik"	0.208677913274919	-0.741535853972927	4.40737335908125	-0.168248930498483	0.866387448584173	
"1700003E16Rik"	4.16384057098968	-0.226139549088685	0.7869679439406	-0.287355477221006	0.773840148215563	0.920596325597593
